repo,contributor_id,bot_commits,matched_patterns,samples
flask,49699333+dependabot[bot]@users.noreply.github.com,60,\[bot\];\bbot\b;dependabot,name='dependabot[bot]' email='49699333+dependabot[bot]@users.noreply.github.com' | name='dependabot[bot]' email='49699333+dependabot[bot]@users.noreply.github.com' | name='dependabot[bot]' email='49699333+dependabot[bot]@users.noreply.github.com'
flask,66853113+pre-commit-ci[bot]@users.noreply.github.com,39,\[bot\];\bbot\b,name='pre-commit-ci[bot]' email='66853113+pre-commit-ci[bot]@users.noreply.github.com' | name='pre-commit-ci[bot]' email='66853113+pre-commit-ci[bot]@users.noreply.github.com' | name='pre-commit-ci[bot]' email='66853113+pre-commit-ci[bot]@users.noreply.github.com'
flask,27856297+dependabot-preview[bot]@users.noreply.github.com,39,\[bot\];\bbot\b;dependabot,name='dependabot-preview[bot]' email='27856297+dependabot-preview[bot]@users.noreply.github.com' | name='dependabot-preview[bot]' email='27856297+dependabot-preview[bot]@users.noreply.github.com' | name='dependabot-preview[bot]' email='27856297+dependabot-preview[bot]@users.noreply.github.com'
