repo,contributor_id,bot_commits,matched_patterns,samples
animate.css,49699333+dependabot[bot]@users.noreply.github.com,122,\[bot\];\bbot\b;dependabot,name='dependabot[bot]' email='49699333+dependabot[bot]@users.noreply.github.com' | name='dependabot[bot]' email='49699333+dependabot[bot]@users.noreply.github.com' | name='dependabot[bot]' email='49699333+dependabot[bot]@users.noreply.github.com'
animate.css,27856297+dependabot-preview[bot]@users.noreply.github.com,3,\[bot\];\bbot\b;dependabot,name='dependabot-preview[bot]' email='27856297+dependabot-preview[bot]@users.noreply.github.com' | name='dependabot-preview[bot]' email='27856297+dependabot-preview[bot]@users.noreply.github.com' | name='dependabot-preview[bot]' email='27856297+dependabot-preview[bot]@users.noreply.github.com'
