repo,contributor_id,bot_commits,matched_patterns,samples
AdminLTE,49699333+dependabot[bot]@users.noreply.github.com,526,\[bot\];\bbot\b;dependabot,name='dependabot[bot]' email='49699333+dependabot[bot]@users.noreply.github.com' | name='dependabot[bot]' email='49699333+dependabot[bot]@users.noreply.github.com' | name='dependabot[bot]' email='49699333+dependabot[bot]@users.noreply.github.com'
AdminLTE,27856297+dependabot-preview[bot]@users.noreply.github.com,1,\[bot\];\bbot\b;dependabot,name='dependabot-preview[bot]' email='27856297+dependabot-preview[bot]@users.noreply.github.com'
